years_by_quarter,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2013-01-01,274.52,292.32,262.90,245.66,408.16,342.52,383.65,403.14,279.12,253.81,460.17,269.66,293.78,242.21,249.97,233.29,285.45,243.26,446.83,406.59,604.13,236.97,299.71,238.81,267.66,359.05,254.63,198.32,375.63,453.35,283.44,556.87,297.95,294.77,233.88,205.05,353.83,365.25,436.87,303.02,303.21,281.59,226.49,318.24,439.78,393.65,390.25,204.15,290.99,270.91
2013-04-01,275.18,292.86,274.77,245.94,426.93,349.58,381.97,403.70,288.37,259.77,470.44,272.52,295.62,242.61,251.63,231.95,286.24,244.75,448.94,410.35,609.22,241.98,305.38,238.34,268.54,361.67,257.44,210.75,376.41,454.13,283.16,558.41,299.42,301.37,234.57,206.9,363.59,366.50,437.6,303.97,304.51,284.18,230.56,327.2,435.88,397.52,397.46,205.19,290.87,273.57
2013-07-01,274.66,296.03,283.01,246.64,448.05,358.12,381.53,405.24,295.86,263.38,479.26,281.13,296.25,243.42,252.68,234.50,285.83,246.45,445.93,411.97,616.32,247.62,311.80,238.98,268.99,366.64,258.82,224,380.82,454.66,283.02,561.13,300.09,312.43,235.76,207.85,373.77,368.06,438.06,304.49,308.6,284.84,234.52,334.77,437.65,398.28,405.89,207.44,291.06,273.72
2013-10-01,273.45,297.25,290.91,246.25,462.93,361.13,378.52,408.31,303.40,266.69,490.46,281.31,297.35,243.55,252.83,233.87,284.61,246.02,443.96,412.58,619.48,249.59,312.10,237.37,268.39,367.14,260.54,233.77,381.1,455.83,284.4,560.34,299.47,316.94,235.53,207.42,378.45,367.36,435.44,303.68,309.9,286.49,237.19,339.18,436.3,398.23,409.85,209.21,289.91,274.69
2014-01-01,275.35,294.52,296.40,247.63,472.58,366.28,377.16,407.19,307.98,270.73,494.01,285.70,298.20,243.28,252.59,234.70,284.88,246.89,446.02,413.93,623.46,252.02,313.95,239.56,268.95,371.59,260.53,239.56,384.81,458.26,282.86,560.89,301.04,319.95,235.94,209.82,383.93,367.34,437.53,304.99,309.38,288.1,241.2,341.29,433.09,399.82,414.44,208.47,289.35,278.00
2014-04-01,276.18,300.52,301.72,247.69,485.34,378.88,380.35,410.85,316.11,277.08,501.42,291.12,303.73,247.21,256.03,237.97,289.17,249.46,449.90,420.51,637.27,259.61,321.95,239.83,273.67,373.87,266.38,247.34,387.68,463.26,285.17,566.50,305.09,324.24,241.12,211.43,396.54,372.07,445.14,310.07,314.63,293.97,247.41,347.66,438.54,406.04,425.37,209.59,293.89,279.24
2014-07-01,279.18,304.32,304.86,249.68,495.49,387.24,382.87,415.69,322.95,282.36,511.86,295.33,307.90,249.80,258.80,241.49,290.57,253.24,457.61,423.26,644.51,265.45,325.09,242.30,275.97,382.11,268.78,256.35,393.78,467.59,287.46,574.93,308.09,332.24,243.89,214.29,403.39,374.75,452.93,313.59,317.39,296.4,251.86,351.56,439.51,409.01,434.59,211.83,297.10,283.76
2014-10-01,280.42,303.46,309.87,252.62,501.10,393.00,382.60,414.59,328.79,284.42,518.62,296.66,309.17,250.95,259.98,241.45,292.71,253.81,455.78,426.96,648.92,267.66,326.22,245.00,278.47,384.23,270.40,259.91,395.34,469.63,288.33,578.17,309.21,337.32,244.89,215.43,407.59,375.49,456.04,316.05,320.37,300.52,254.87,355.62,438.59,412.32,438.93,212.56,298.60,285.70
2015-01-01,283.36,306.29,312.38,252.71,506.29,400.46,387.37,421.22,336.18,288.56,530.50,302.23,312.53,253.76,261.04,243.52,295.48,257.27,461.92,429.43,654.60,268.88,327.05,246.91,280.67,386.98,272.24,265.89,398.83,473.67,289.62,583.66,314.25,340.47,246.33,217.22,414.11,379.53,460.16,321.86,323.15,303.2,258.66,359.16,442.64,414.59,444.89,211.98,300.56,287.94
2015-04-01,284.36,309.21,319.20,253.48,517.70,417.15,388.62,420.62,344.49,295.40,534.18,307.64,315.28,257.03,264.36,246.30,299.08,259.46,464.70,432.33,662.48,274.61,334.04,247.14,282.88,393.05,277.05,274.42,405.09,477.35,290.7,588.35,317.94,343.41,250.38,220.31,428.26,381.99,469.67,325.21,327.24,306.85,265.12,365.08,447.41,418.06,458.00,217.2,303.68,289.20
2015-07-01,285.93,312.99,325.76,257.27,530.92,432.22,386.30,423.41,353.00,299.30,541.88,313.86,316.41,257.93,266.89,249.36,300.71,262.32,467.02,432.38,673.32,279.49,339.08,250.16,285.67,396.26,281.75,281.95,410.12,478.21,293.86,593.52,320.56,350.08,253.03,222.66,441.61,383.70,471.67,328.43,330.8,312.1,270.82,372.31,446.93,419.67,470.82,215.87,306.21,295.62
2015-10-01,287.95,314.14,330.23,259.19,538.24,438.17,385.92,425.13,359.99,301.71,548.83,318.63,317.87,259.73,268.44,249.42,303.10,262.58,470.36,433.50,677.24,280.78,339.86,251.53,288.78,400.35,282.72,288.74,410.51,479.13,292.7,594.33,323.55,350.8,253.64,223.91,448.75,384.22,474.79,332.2,334.49,315.01,273.22,377.29,445.45,421.66,478.69,216.95,308.10,294.57
2016-01-01,288.53,314.56,334.01,257.68,545.27,445.96,386.03,426.14,366.55,304.71,563.39,323.01,319.32,259.71,270.10,251.52,304.78,265.29,474.31,437.29,684.61,282.94,341.83,252.68,291.17,403.94,282.60,292.23,414.09,482.16,294.79,597.55,327.21,350.91,254.89,224.06,458.41,385.97,476.24,334.98,337.15,319.16,277.1,382.87,444.44,420.7,488.15,218.28,310.86,294.45
2016-04-01,292.63,316.87,341.05,261.54,554.90,461.68,388.02,430.43,375.99,313.03,566.34,328.96,323.60,264.94,272.76,256.63,310.26,268.82,478.31,442.05,694.15,289.20,349.54,254.15,295.03,406.03,288.37,299.67,419.5,487.81,299.45,607.10,332.37,353.3,259.43,226.27,475.21,392.18,486.06,341.1,340.3,325.07,284.24,391.52,451.68,427.87,505.74,218.81,315.21,297.65
2016-07-01,297.30,318.39,346.85,264.30,567.02,474.23,391.36,434.90,386.33,318.79,577.56,339.84,328.23,268.68,276.77,260.43,313.52,271.24,488.94,447.67,706.52,294.70,354.94,255.23,299.69,412.45,293.74,308.62,427.01,492.52,301.29,615.42,338.89,357.01,264.60,228.67,489.53,396.25,495.02,348.62,346.96,331,289.91,400.58,456.07,431.87,521.03,220.44,319.49,299.88
2016-10-01,296.58,316.78,352.35,265.81,573.84,481.07,391.73,437.68,392.71,321.46,582.93,341.32,329.14,270.18,277.94,262.22,315.38,272.74,493.16,449.26,712.99,296.91,356.89,259.74,301.17,414.50,294.60,312.48,429.22,494.29,305.64,620.86,340.68,356.53,264.30,228.53,497.22,397.15,502.84,349.49,349.1,335.47,293.07,405.27,454.66,433.77,528.42,222.1,321.51,299.79
2017-01-01,298.19,318.51,357.46,268.79,579.88,489.27,386.22,437.09,400.06,323.84,583.58,348.01,327.97,270.75,280.06,261.83,318.23,271.26,496.95,447.10,716.86,300.62,360.43,259.26,302.40,421.74,298.09,316.95,431.99,489.59,304.31,622.68,342.18,358.42,265.69,231.51,502.6,398.09,505.53,353.44,351.76,339.4,296.98,412.49,456.16,433.1,538.03,219.16,324.60,298.45
2017-04-01,301.69,319.06,366.85,270.19,591.94,506.46,391.69,439.21,409.83,332.29,591.73,361.48,332.10,275.98,283.71,268.91,324.63,274.89,501.44,455.35,735.63,308.90,370.91,259.54,308.77,426.19,306.64,326.76,441.98,497.56,307.26,632.98,352.5,357.64,273.24,234.61,518.59,405.31,515.02,359.7,359.67,347.91,305.9,426.1,460.85,442.01,559.00,221.03,332.34,301.52
2017-07-01,304.59,322.66,374.65,273.33,603.63,514.55,394.19,440.40,417.01,337.48,600.06,369.68,336.13,280.86,287.23,271.54,329.16,278.50,511.14,458.97,746.03,314.99,376.02,262.15,312.39,434.68,310.29,338.39,449.69,504.06,313.06,645.51,357.23,361.45,276.79,235.76,527.7,410.24,524.92,366.67,364.36,354.95,310.42,436.04,462.22,444.44,575.73,222.11,336.48,302.24
2017-10-01,306.62,323.27,378.78,275.38,612.35,521.80,394.05,444.37,425.17,340.92,604.01,375.12,336.77,283.13,288.34,272.24,329.86,279.61,516.80,461.69,752.19,316.80,377.46,263.83,314.82,436.70,312.12,346.76,453.28,505.42,313.99,651.54,358.82,359.92,277.65,236.58,530.93,411.42,531.7,368.77,365.9,359.45,313.28,441.84,469.19,446.22,584.00,225.32,337.04,305.25
2018-01-01,310.13,321.68,386.78,278.20,622.79,535.65,392.22,451.37,433.67,348.76,609.61,387.45,338.49,287.71,289.69,276.71,334.50,279.67,522.67,464.43,760.60,320.83,382.82,266.44,319.48,443.92,315.26,357.48,460.08,508.6,315.36,658.62,365.56,361.34,281.73,237.56,538.53,416.06,541.9,376.98,370.36,364.93,317.44,451.13,471.86,450.97,597.89,224.98,341.80,310.62
2018-04-01,314.65,324.81,394.94,280.61,634.66,549.34,395.41,453.66,441.89,356.95,616.16,404.90,340.56,294.59,295.01,281.81,338.70,280.24,531.87,468.69,775.23,328.81,391.64,266.17,324.53,452.58,322.03,372.76,469.1,513.11,320.3,666.45,373.66,363.32,287.66,240.86,551.87,421.79,549.09,381.51,374.49,373.14,324.38,466.14,477.53,456.33,618.88,228.69,350.31,309.51
2018-07-01,317.67,324.66,404.04,282.90,642.70,557.56,399.08,455.75,449.05,362.64,620.51,416.50,341.77,298.16,297.25,282.89,341.45,281.97,538.98,469.47,784.67,333.98,396.27,267.42,327.82,457.74,326.79,383.64,475.83,516.89,323.4,677.69,378.64,362.89,291.92,242.32,558.01,425.89,556.13,386.79,379.57,378.57,328.48,475.78,478.78,458.79,626.05,228.26,354.61,314.69
2018-10-01,318.33,324.60,408.60,285.23,642.60,559.37,397.34,459.38,452.51,364.77,623.98,423.60,341.30,300.42,297.70,285.37,343.19,282.26,541.22,467.52,785.68,334.79,395.62,269.62,330.56,463.09,327.71,389.5,477.97,517.49,325.79,678.06,381.13,364.91,292.49,243.1,559.17,426.12,558.06,388.41,383.52,382.36,329.53,481.94,477.34,459.27,627.57,227.88,355.98,316.95
2019-01-01,324.41,327.52,413.97,287.34,646.61,567.03,399.11,462.66,459.59,370.13,631.16,432.28,344.34,304.49,299.70,287.56,346.69,285.24,545.71,472.37,794.97,339.12,400.29,272.77,333.31,465.22,331.84,392.04,482.67,521.74,327.95,683.57,387.09,367.11,295.97,246.31,565.54,430.72,563.11,393.71,385.78,386.4,333.46,490.14,482.71,464.39,636.19,228.75,359.50,316.16
2019-04-01,328.73,331.69,422.05,290.99,653.22,575.94,405.70,469.93,465.57,377.56,633.69,447.49,349.29,310.10,303.31,292.67,352.22,288.04,558.89,480.22,806.81,346.04,407.78,276.16,339.52,474.70,339.05,398.03,492.34,529.48,335.54,694.65,393.96,372.46,302.15,248.17,574.9,438.94,573.82,401.94,391.27,393.95,339.52,500.11,492.79,473.47,648.94,231.78,366.06,325.00
2019-07-01,333.39,334.00,428.39,294.23,660.06,581.19,410.24,475.39,473.15,382.81,639.24,457.60,352.67,314.65,306.41,296.40,357.51,290.11,566.48,485.22,816.16,350.23,412.48,279.35,343.54,481.84,342.23,401.02,499.17,537.44,341.46,704.93,398.54,374.79,306.68,252.82,581.71,444.65,580.33,407.07,396.37,399.75,343.51,508.21,499.75,478.56,657.31,234.27,370.73,329.37
2019-10-01,337.52,334.12,435.68,297.00,664.29,586.02,412.53,478.55,479.21,386.71,645.23,468.12,354.30,318.00,308.35,298.13,359.69,292.47,573.80,486.90,823.75,352.65,414.81,280.60,348.09,488.00,344.22,404.16,504.93,541.14,344.12,712.41,403.6,376.99,309.40,254.47,587.26,447.66,587.74,411.12,401.06,404.67,345.91,515.64,501.19,482.11,664.68,236.54,373.04,333.81
2020-01-01,341.24,337.48,444.36,298.54,670.48,592.30,414.15,484.60,486.21,392.31,644.60,478.31,355.92,321.64,310.50,302.15,363.78,295.40,579.30,492.19,832.34,356.02,418.81,284.99,351.79,494.63,348.29,408.56,511.48,545.7,349.4,719.08,409.56,377.97,314.02,258.2,592.91,453.44,592.86,416.89,406.38,410.63,349.71,522.38,508.24,487.2,675.93,238.18,376.16,337.04
2020-04-01,346.06,340.51,452.21,301.24,678.17,599.34,418.55,488.57,492.79,396.62,653.30,487.72,357.85,325.29,312.16,305.15,367.75,297.98,588.07,496.69,840.89,359.75,422.08,285.19,354.42,495.82,351.01,413.23,519.39,551.18,353.48,724.91,412.92,377.5,316.76,259.86,600.53,457.13,600.25,420.14,408.31,414.99,352.18,531.9,511.16,492.77,686.38,240.49,378.87,338.90
2020-07-01,353.05,344.81,463.30,305.69,686.17,608.78,427.58,498.51,501.29,404.31,645.86,506.24,361.60,332.28,315.04,311.36,374.45,300.54,601.52,503.16,855.87,367.59,431.02,289.28,361.09,510.23,355.62,419.74,531.39,560.74,360.49,736.83,420.76,383.3,324.32,263.65,610.78,466.71,612.19,427.5,413.64,424.18,357.67,544.73,522.06,500.94,701.94,244.82,386.17,343.23
2020-10-01,360.20,348.46,479.67,313.05,700.21,621.26,439.47,506.36,514.51,412.80,657.41,529.90,366.17,340.33,319.88,317.76,382.02,304.22,623.23,512.49,872.91,375.28,438.73,294.69,368.38,526.70,362.84,429.06,547.15,572.62,368.18,752.77,431.25,388.05,332.18,268.62,627.5,474.97,630.75,436.07,424.02,434.13,365.79,563.78,536.58,510.36,720.56,248.11,393.95,351.11
2021-01-01,367.38,351.34,500.63,318.59,719.55,637.75,450.66,521.46,530.73,424.54,666.16,557.81,370.34,347.07,323.06,323.53,388.83,307.72,641.99,523.87,891.68,383.04,445.54,298.64,375.14,544.04,368.84,443.97,563.14,586.57,378.73,770.80,441.51,388.35,338.26,273.91,648.31,486.41,647.63,445.83,429.79,446.46,374.24,586.35,550.88,520.83,741.74,252.55,399.26,356.60
2021-04-01,384.84,364.22,539.69,334.56,761.96,683.49,473.86,543.13,564.55,448.68,698.70,617.00,387.15,367.06,338.62,341.78,406.86,316.45,680.65,548.35,939.72,404.44,469.61,309.48,398.70,585.38,390.91,472.93,596.55,614.25,394.14,797.68,467.1,398.64,355.36,285.93,691.89,507.70,687.2,470.22,458.26,473.03,396.25,643.27,576.1,545.03,797.90,258.54,420.94,371.85
2021-07-01,406.20,381.51,585.08,352.56,801.31,723.92,500.16,570.95,606.77,475.89,724.96,668.08,400.49,385.72,353.21,357.20,427.36,327.20,729.23,570.54,988.09,425.29,492.18,326.40,416.04,628.44,409.87,509.69,632.66,644.42,416.82,838.79,498.32,413.49,373.64,301.49,734.19,532.65,730.49,497.11,484.06,505.35,421.47,692.4,613.28,569.86,844.17,272.6,441.86,393.61
2021-10-01,421.78,386.83,613.94,368.26,833.84,743.69,510.22,589.71,640.41,499.53,763.16,691.11,409.83,397.93,360.39,363.17,440.79,334.24,751.56,582.63,1010.42,434.51,500.46,336.48,427.49,657.25,417.85,531.22,650.65,664.53,431.55,857.97,520.51,421.85,382.33,310.42,753.22,543.83,751.24,519.47,502.67,531.66,438.75,718.05,630.57,582.98,872.09,280.26,451.12,407.56
