state,year,quarter,price
AL,2020,1,341.24,,,,
AL,2020,2,346.06,,,,
AL,2020,3,353.05,,,,
AL,2020,4,360.2,,,,
AL,2021,1,367.38,,,,
AL,2021,2,384.84,,,,
AL,2021,3,406.2,,,,
AL,2021,4,421.78,,,,
AK,1975,1,62.32,,,,
AK,1975,2,64.53,,,,
AK,1975,3,67.66,,,,
AK,1975,4,68.48,,,,
AK,1976,1,71.57,,,,
AK,1976,2,71.85,,,,
AK,1976,3,74.48,,,,
AK,1976,4,74.24,,,,
AK,1977,1,78.83,,,,
AK,1977,2,77.47,,,,
AK,1977,3,79.1,,,,
AK,1977,4,79.32,,,,
AK,1978,1,79.32,,,,
AK,1978,2,86.35,,,,
AK,1978,3,88.23,,,,
AK,1978,4,86.85,,,,
AK,1979,1,89.38,,,,
AK,1979,2,99.86,,,,
AK,1979,3,96.74,,,,
AK,1979,4,97.33,,,,
AK,1980,1,100,,,,
AK,1980,2,83.1,,,,
AK,1980,3,73.73,,,,
AK,1980,4,95.04,,,,
AK,1981,1,89.53,,,,
AK,1981,2,108.81,,,,
AK,1981,3,116.63,,,,
AK,1981,4,129.42,,,,
AK,1982,1,136.82,,,,
AK,1982,2,131.74,,,,
AK,1982,3,141.16,,,,
AK,1982,4,137.24,,,,
AK,1983,1,139.18,,,,
AK,1983,2,140.5,,,,
AK,1983,3,146.8,,,,
AK,1983,4,146.38,,,,
AK,1984,1,150.34,,,,
AK,1984,2,148.06,,,,
AK,1984,3,154.78,,,,
AK,1984,4,152.92,,,,
AK,1985,1,144.99,,,,
AK,1985,2,145.57,,,,
AK,1985,3,146.08,,,,
AK,1985,4,142.11,,,,
AK,1986,1,142.96,,,,
AK,1986,2,145.35,,,,
AK,1986,3,140.81,,,,
AK,1986,4,137.46,,,,
AK,1987,1,134.01,,,,
AK,1987,2,124.55,,,,
AK,1987,3,116.3,,,,
AK,1987,4,105.27,,,,
AK,1988,1,121.09,,,,
AK,1988,2,115.51,,,,
AK,1988,3,126.79,,,,
AK,1988,4,132.4,,,,
AK,1989,1,128.94,,,,
AK,1989,2,104.57,,,,
AK,1989,3,104.33,,,,
AK,1989,4,102.32,,,,
AK,1990,1,98.97,,,,
AK,1990,2,112.78,,,,
AK,1990,3,122.26,,,,
